SKUCode,Updated_Requirement,ConsolidatedPriorityScore
1225170015012LSTL0,44196,1.11
1325214813075SUNE1,43653,0.88
1D25213812090FXPC0,28316,0.7
1D25212812074FXC10,21895,0.8
1325221417100HURL1,19026,0.57
1D25212812086FXPC0,17422,0.75
1225170015010LSTL0,15558,0.87
1325213615099MSXT0,13158,0.6
1325119815106QBRQ0,11634,0.87
1225221715115SSTL0,10651,0.87
1425118916008QRBT0,10304,0.6
1D25215013008SXC1T,9474,0.08
1D25215Z13008QXPC0,9131,1.01
1325121715100SRBT0,9078,0.61
1325217514082TUTR0,7424,0.51
1325114812074TUHL0,6804,0.53
1225223516121PSKP0,6527,0.76
1325121715100SRXT0,6376,0.61
1325217514082TTMX0,6256,0.52
1325219416089HRHE0,5936,0.73
1325215613075TUHL0,5934,0.49
1325220515094VUTR0,5764,0.54
1325119015008SRBT0,5402,0.67
1325216514079TTMX0,4782,0.48
1325218515088TURL0,4636,0.63
1325216814085SUTR0,4544,0.51
1325214812074TTMX0,4210,0.79
1325220515094VTMX0,4198,0.49
1325217413077TUSP0,4113,0.43
1325223517104HRHT0,4032,0.62
1325219316087VURL0,4030,0.38
1325219316087VUTR0,3990,0.56
1325215813079SUHL0,3983,0.53
1325218515088HUTR0,3958,0.55
1325215513073TUHL0,3942,0.52
1325213612065SULX1,3895,0.61
1325123715105SBRT0,3883,0.59
1225121715115SSTL0,3835,0.67
1225121Z14112LSTL0,3584,0.53
1325121715115SLTB0,3360,0.5
1325214613071TTMX0,3271,0.52
1325216614081STMX0,3244,0.31
1325216614081SUTR0,3127,0.46
1325218515088HTMX0,2957,0.52
1325214813075STMX0,2901,0.54
1225219015010QSTL0,2875,0.61
1325221715100SRHT0,2830,0.36
1325215613075TTMX0,2821,0.42
1325123715105SRXT0,2476,0.59
1325216814085TURL0,2469,0.34
1325121715100SBRT0,2429,0.62
1325222417099HURL0,2324,0.55
1325216513077TUHL0,2219,0.46
1325223616105HRHT0,2115,0.56
1325226517112HRHT0,1945,0.68
1325217614084HURL1,1941,0.66
1325220316091VURL1,1928,0.49
1325223715105SRXT0,1900,0.59
1325214812074TUHL0,1845,0.33
1225121716010SXC10,1750,0.83
1225119015010QSTL0,1673,0.58
1325215813079STMX0,1507,0.32
1325114612069TUHL0,1332,0.37
1325221715100SRXT0,1081,0.6
1325218415084TTMX0,1011,0.47
1225222716121MXC11,958,0.58
1D25115013008QXPC0,922,0.55
1325218515088HURP0,690,0.52
1225221716010SXC10,632,0.78
1325217415081HUTR0,537,0.36
1325223517104HRPG0,531,0.56
1325114613071TTMX0,330,0.56
1225175016012NJTL0,294,0.54
1325215813079TUNE6,259,0.36
1325218614088HURL0,211,0.64
1325217515084HURP0,148,0.44
1325217514082HURP0,144,0.48
1325221416095VURS0,132,0.29
1325220516095HTMX0,116,0.23
1325218514086HURL0,100,0.08
1325217614084HURL2,65,0.08
1325221317098VUX10,51,0.45
1325217514082HURL1,45,0.52
1325220515094VZEP0,5,0.38
