SKUCode,Base_Requirement,Updated_Requirement,Order_Type,ConsolidatedPriorityScore
1D25215013008SXC10,67839.12000000001,74623.03200000002,MTO,2.174570275600222
1325221417096HURL0,32428.84235294118,35671.7265882353,MTO,2.083449076977253
1325221318095HURL0,20241.27,22265.397,MTO,2.0520868207370393
1325225518111HRHB0,18090.432000000004,19899.475200000008,MTO,2.0465520734933924
1325217515084HURL2,13645.8,15010.380000000001,MTO,2.03511471060924
1D25216814008QXPC0,12834.428108108106,14117.870918918918,MTO,2.0330268088973393
1D25215013008SXC1T,12476.160000000002,13723.776000000003,MTO,2.0321048782713054
1325222318098HRHE0,5282.245161290322,5810.469677419355,MTO,2.013592791203577
1325214617107MSXT0,5106.170322580645,5616.78735483871,MTO,2.0131396981634575
1325216613079HUNE0,4447.5199999999995,4892.272,MTO,2.0114447945689373
1D25219Z14008SXC10,1005.4799999999999,1106.028,MTO,2.002587399729102
1325225518111HRAT1,704.0,774.4000000000001,MTO,2.0018116018312524
1325223317103YLEV0,578.9127272727271,636.8039999999999,MTO,2.0014897149955435
1325223418103VETR0,463.1301818181817,509.44319999999993,MTO,2.0011917719964347
1325222418104HUX10,61.62619354838709,67.7888129032258,MTO,2.0001585825640418
1325215813079TUNE3,36249.91145038168,39874.90259541985,MTS,1.0932818266566071
1D25214012008QXPCT,24352.504615384612,26787.755076923077,MTS,1.0626662527795667
1325219515091HURL2,19010.011034482755,20911.012137931033,MTS,1.0489184244349412
1325214812074TUHL0,15318.510967741937,16850.36206451613,MTS,1.0394190944903727
1325224716111SELS0,14127.416470588236,15540.15811764706,MTS,1.036354053336625
1225219Z15008SXC11,12820.70511627907,14102.775627906978,MTS,1.0329914955491464
1D25218014010RXPCT,11306.52,12437.172000000002,MTS,1.0290950459333703
1325215813079TUNE5,10435.023529411765,11478.525882352942,MTS,1.0268524257600071
1325218614088TTMX0,8899.434782608696,9789.378260869566,MTS,1.0229008982234173
1325221715100SRAT0,6549.984000000001,7204.982400000002,MTS,1.0168550610924352
1D25114012008QXPC0,3638.879999999999,4002.7679999999996,MTS,1.0093639228291307
1325223616105TRAT0,3245.487567567567,3570.036324324324,MTS,1.008351606847603
1325215514075TUNE0,2966.478260869565,3263.1260869565217,MTS,1.007633632741139
1325218514086HUTR0,2916.6595419847326,3208.3254961832063,MTS,1.0075054343286924
1325220416092HRHT0,2635.0510344827585,2898.5561379310348,MTS,1.0067807717038533
1325218316083HURL0,2465.047741935484,2711.5525161290325,MTS,1.0063433025616693
1325214812074TTMX0,2352.35984516129,2587.5958296774193,MTS,1.006053323015993
1D25118014010RXPC0,1949.4,2144.34,MTS,1.0050163872298914
1D25218Z14008QXPC0,1819.44,2001.3840000000002,MTS,1.0046819614145652
1325223517104TRXT0,1408.5987096774193,1549.4585806451614,MTS,1.0036247443209538
1325214813075SUHL0,1317.5255172413792,1449.2780689655174,MTS,1.0033903858519266
1325221516098HRHT0,1317.5255172413792,1449.2780689655174,MTS,1.0033903858519266
1325219416089VRHE0,1273.608,1400.9688,MTS,1.0032773729901958
1325221416095VRHE1,1273.608,1400.9688,MTS,1.0032773729901958
1325223616109SELZ0,1065.038048780488,1171.5418536585369,MTS,1.0027406603402333
1325221416095VURP0,1032.655135135135,1135.9206486486485,MTS,1.00265732945151
1325216612077TUSP0,922.2678620689653,1014.4946482758619,MTS,1.0023732700963486
1325226517112HRHT1,308.1309677419355,338.94406451612906,MTS,1.0007929128202087
1325226617118QRMT0,264.20591489361703,290.6265063829788,MTS,1.000679880567115
1325224716120NRMT0,159.7557073170732,175.73127804878052,MTS,1.000411099051035
